epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
1,1552.1766357421875,2311.496826171875,24.941523,36.115337,39.397675,48.078026,-0.6687378883361816,-1.2934820652008057
2,1539.90869140625,2294.614013671875,24.701275,35.89656,39.24167,47.902134,-0.6555484533309937,-1.276731252670288
3,1524.337890625,2272.49560546875,24.393547,35.61077,39.04277,47.6707,-0.6388083696365356,-1.2547850608825684
4,1505.1229248046875,2245.1044921875,24.062626,35.312042,38.795914,47.382534,-0.6181504726409912,-1.2276074886322021
5,1481.576416015625,2211.0400390625,23.82114,34.987225,38.491253,47.021698,-0.5928357839584351,-1.1938083171844482
6,1453.9586181640625,2171.0048828125,23.54742,34.599106,38.13081,46.59404,-0.5631439685821533,-1.1540849208831787
7,1422.311767578125,2125.01953125,23.22573,34.143974,37.71355,46.097935,-0.529120683670044,-1.1084582805633545
8,1388.51220703125,2075.408203125,22.914635,33.641945,37.262745,45.55665,-0.4927828311920166,-1.0592334270477295
9,1350.434326171875,2018.79248046875,22.566866,33.08232,36.748253,44.930973,-0.4518454074859619,-1.0030591487884521
10,1308.7076416015625,1955.1861572265625,22.29657,32.53811,36.176064,44.217487,-0.40698540210723877,-0.9399484395980835
11,1264.642333984375,1887.318115234375,22.08104,31.936943,35.56181,43.44327,-0.35961079597473145,-0.8726092576980591
12,1217.03125,1812.925537109375,21.83678,31.249552,34.885975,42.578465,-0.3084244728088379,-0.7987966537475586
13,1168.6341552734375,1735.863525390625,21.589432,30.501753,34.18529,41.663696,-0.2563929557800293,-0.7223351001739502
14,1122.410400390625,1660.6728515625,21.5042,29.984808,33.5024,40.751354,-0.20669841766357422,-0.6477304697036743
15,1077.23486328125,1584.90625,21.595654,29.52865,32.821255,39.810883,-0.15812993049621582,-0.572554349899292
16,1034.0128173828125,1509.399169921875,21.758919,29.193417,32.15607,38.850986,-0.11166226863861084,-0.4976358413696289
17,1001.8348388671875,1452.0137939453125,21.874382,28.980341,31.651775,38.105297,-0.07706785202026367,-0.44069743156433105
18,974.6088256835938,1402.2281494140625,21.973986,28.781553,31.218725,37.44634,-0.047797203063964844,-0.3912999629974365
