epoch,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
1,1553.547119140625,2313.551025390625,24.975449,36.145985,39.415062,48.09939,-0.6702111959457397,-1.2955207824707031
2,1542.4261474609375,2297.6171875,24.750246,35.941013,39.273735,47.933468,-0.6582549810409546,-1.2797107696533203
3,1530.7283935546875,2281.12548828125,24.51654,35.726913,39.124527,47.76113,-0.6456788778305054,-1.263347864151001
4,1517.684326171875,2262.420166015625,24.256552,35.485653,38.957466,47.564903,-0.6316550970077515,-1.2447881698608398
5,1502.5830078125,2240.82958984375,24.037199,35.27188,38.763165,47.3374,-0.6154197454452515,-1.2233655452728271
6,1485.611572265625,2216.40771484375,23.8656,35.036827,38.543633,47.07874,-0.5971739292144775,-1.199134111404419
7,1465.3204345703125,2186.953125,23.664587,34.751163,38.279503,46.76487,-0.5753589868545532,-1.1699090003967285
8,1441.7738037109375,2152.60595703125,23.428062,34.414852,37.970695,46.396183,-0.550044059753418,-1.1358296871185303
9,1415.1368408203125,2113.651123046875,23.15673,34.02626,37.6183,45.97446,-0.5214067697525024,-1.0971784591674805
10,1384.3424072265625,2068.290771484375,22.873938,33.566475,37.206753,45.478466,-0.4882999658584595,-1.0521714687347412
11,1349.2113037109375,2016.074951171875,22.55432,33.063477,36.731613,44.900723,-0.4505307674407959,-1.0003626346588135
12,1310.9134521484375,1958.57861328125,22.313168,32.573578,36.20654,44.255833,-0.409356951713562,-0.9433146715164185
13,1268.5538330078125,1894.39599609375,22.106962,32.007095,35.616764,43.524662,-0.3638162612915039,-0.8796322345733643
14,1224.3670654296875,1826.2705078125,21.881578,31.3816,34.99096,42.734886,-0.316311240196228,-0.812037467956543
15,1181.5562744140625,1758.73828125,21.647871,30.73384,34.37377,41.937313,-0.2702854871749878,-0.7450315952301025
16,1137.7247314453125,1688.0513916015625,21.525625,30.14866,33.730175,41.085903,-0.22316229343414307,-0.6748957633972168
17,1100.64501953125,1626.4595947265625,21.535809,29.788279,33.175972,40.329388,-0.1832982301712036,-0.6137837171554565
18,1070.6475830078125,1575.6337890625,21.63031,29.474977,32.720753,39.694252,-0.15104806423187256,-0.5633540153503418
19,1044.7486572265625,1530.79638671875,21.71989,29.275469,32.32257,39.125393,-0.12320411205291748,-0.5188660621643066
20,1020.1465454101562,1486.9058837890625,21.805529,29.109756,31.939732,38.560417,-0.09675455093383789,-0.4753178358078003
21,988.799072265625,1428.2208251953125,21.939604,28.883905,31.445175,37.79181,-0.06305313110351562,-0.41709017753601074
22,959.5962524414062,1370.6578369140625,22.112547,28.644882,30.97735,37.0224,-0.03165733814239502,-0.35997581481933594
23,938.2477416992188,1326.6114501953125,22.350779,28.440582,30.630829,36.422676,-0.008705615997314453,-0.3162726163864136
24,920.7504272460938,1289.0322265625,22.625917,28.250933,30.34387,35.903095,0.010105609893798828,-0.2789863348007202
25,908.9605102539062,1265.3134765625,22.787691,28.118698,30.148972,35.571243,0.022780954837799072,-0.2554522752761841
26,900.7168579101562,1250.763916015625,22.863203,28.031843,30.011944,35.366142,0.03164374828338623,-0.24101626873016357
27,894.2802734375,1241.7022705078125,22.874886,28.001003,29.90452,35.237797,0.038563549518585205,-0.232025146484375
28,888.1943969726562,1234.203857421875,22.863834,27.978756,29.802591,35.131237,0.045106470584869385,-0.22458505630493164
29,881.3363037109375,1222.8536376953125,22.900333,27.946232,29.687311,34.969322,0.052479445934295654,-0.21332323551177979
